"Sexo	Edad	Provincias	Periodo	Total",
"Ambos sexos	Total	02 Albacete	1 de enero de 2021	388.920",
"Ambos sexos	Total	03 Alicante/Alacant	1 de enero de 2021	1.894.752",
"Ambos sexos	Total	04 Almería	1 de enero de 2021	720.638",
"Ambos sexos	Total	01 Araba/Álava	1 de enero de 2021	329.700",
"Ambos sexos	Total	33 Asturias	1 de enero de 2021	1.013.018",
"Ambos sexos	Total	05 Ávila	1 de enero de 2021	159.155",
"Ambos sexos	Total	06 Badajoz	1 de enero de 2021	669.575",
"Ambos sexos	Total	07 Balears"," Illes	1 de enero de 2021	1.219.423"
"Ambos sexos	Total	08 Barcelona	1 de enero de 2021	5.638.094",
"Ambos sexos	Total	48 Bizkaia	1 de enero de 2021	1.139.621",
"Ambos sexos	Total	09 Burgos	1 de enero de 2021	354.478",
"Ambos sexos	Total	10 Cáceres	1 de enero de 2021	388.424",
"Ambos sexos	Total	11 Cádiz	1 de enero de 2021	1.258.216",
"Ambos sexos	Total	39 Cantabria	1 de enero de 2021	583.904",
"Ambos sexos	Total	12 Castellón/Castelló	1 de enero de 2021	576.941",
"Ambos sexos	Total	51 Ceuta	1 de enero de 2021	83.502",
"Ambos sexos	Total	13 Ciudad Real	1 de enero de 2021	492.065",
"Ambos sexos	Total	14 Córdoba	1 de enero de 2021	781.145",
"Ambos sexos	Total	15 Coruña"," A	1 de enero de 2021	1.121.802"
"Ambos sexos	Total	16 Cuenca	1 de enero de 2021	199.021",
"Ambos sexos	Total	20 Gipuzkoa	1 de enero de 2021	716.284",
"Ambos sexos	Total	17 Girona	1 de enero de 2021	773.821",
"Ambos sexos	Total	18 Granada	1 de enero de 2021	928.290",
"Ambos sexos	Total	19 Guadalajara	1 de enero de 2021	265.319",
"Ambos sexos	Total	21 Huelva	1 de enero de 2021	530.386",
"Ambos sexos	Total	22 Huesca	1 de enero de 2021	221.479",
"Ambos sexos	Total	23 Jaén	1 de enero de 2021	625.887",
"Ambos sexos	Total	24 León	1 de enero de 2021	455.066",
"Ambos sexos	Total	25 Lleida	1 de enero de 2021	436.911",
"Ambos sexos	Total	27 Lugo	1 de enero de 2021	326.636",
"Ambos sexos	Total	28 Madrid	1 de enero de 2021	6.752.763",
"Ambos sexos	Total	29 Málaga	1 de enero de 2021	1.696.252",
"Ambos sexos	Total	52 Melilla	1 de enero de 2021	84.019",
"Ambos sexos	Total	30 Murcia	1 de enero de 2021	1.513.161",
"Ambos sexos	Total	31 Navarra	1 de enero de 2021	657.776",
"Ambos sexos	Total	32 Ourense	1 de enero de 2021	305.169",
"Ambos sexos	Total	34 Palencia	1 de enero de 2021	158.594",
"Ambos sexos	Total	35 Palmas"," Las	1 de enero de 2021	1.151.969"
"Ambos sexos	Total	36 Pontevedra	1 de enero de 2021	943.388",
"Ambos sexos	Total	26 Rioja"," La	1 de enero de 2021	316.197"
"Ambos sexos	Total	37 Salamanca	1 de enero de 2021	327.958",
"Ambos sexos	Total	38 Santa Cruz de Tenerife	1 de enero de 2021	1.092.454",
"Ambos sexos	Total	40 Segovia	1 de enero de 2021	154.172",
"Ambos sexos	Total	41 Sevilla	1 de enero de 2021	1.960.635",
"Ambos sexos	Total	42 Soria	1 de enero de 2021	89.457",
"Ambos sexos	Total	43 Tarragona	1 de enero de 2021	821.172",
"Ambos sexos	Total	44 Teruel	1 de enero de 2021	133.325",
"Ambos sexos	Total	45 Toledo	1 de enero de 2021	704.130",
"Ambos sexos	Total	46 Valencia/València	1 de enero de 2021	2.574.192",
"Ambos sexos	Total	47 Valladolid	1 de enero de 2021	518.983",
"Ambos sexos	Total	49 Zamora	1 de enero de 2021	169.505",
"Ambos sexos	Total	50 Zaragoza	1 de enero de 2021	976.476",
