"Provincias	Sexo	Periodo	Total",
"02 Albacete	Total	2020	388.270",
"03 Alicante/Alacant	Total	2020	1.879.888",
"04 Almería	Total	2020	727.945",
"01 Araba/Álava	Total	2020	333.940",
"33 Asturias	Total	2020	1.018.784",
"05 Ávila	Total	2020	157.664",
"06 Badajoz	Total	2020	672.137",
07 Balears," Illes	Total	2020	1.171.543"
"08 Barcelona	Total	2020	5.743.402",
"48 Bizkaia	Total	2020	1.159.443",
"09 Burgos	Total	2020	357.650",
"10 Cáceres	Total	2020	391.850",
"11 Cádiz	Total	2020	1.244.049",
"39 Cantabria	Total	2020	582.905",
"12 Castellón/Castelló	Total	2020	585.590",
"13 Ciudad Real	Total	2020	495.045",
"14 Córdoba	Total	2020	781.451",
15 Coruña," A	Total	2020	1.121.815"
"16 Cuenca	Total	2020	196.139",
"20 Gipuzkoa	Total	2020	727.121",
"17 Girona	Total	2020	781.788",
"18 Granada	Total	2020	919.168",
"19 Guadalajara	Total	2020	261.995",
"21 Huelva	Total	2020	524.278",
"22 Huesca	Total	2020	222.687",
"23 Jaén	Total	2020	631.381",
"24 León	Total	2020	456.439",
"25 Lleida	Total	2020	438.517",
"27 Lugo	Total	2020	327.946",
"28 Madrid	Total	2020	6.779.888",
"29 Málaga	Total	2020	1.685.920",
"30 Murcia	Total	2020	1.511.251",
"31 Navarra	Total	2020	661.197",
"32 Ourense	Total	2020	306.650",
"34 Palencia	Total	2020	160.321",
35 Palmas," Las	Total	2020	1.131.065"
"36 Pontevedra	Total	2020	945.408",
26 Rioja," La	Total	2020	319.914"
"37 Salamanca	Total	2020	329.245",
"38 Santa Cruz de Tenerife	Total	2020	1.044.887",
"40 Segovia	Total	2020	153.478",
"41 Sevilla	Total	2020	1.950.219",
"42 Soria	Total	2020	88.884",
"43 Tarragona	Total	2020	816.772",
"44 Teruel	Total	2020	134.176",
"45 Toledo	Total	2020	703.772",
"46 Valencia/València	Total	2020	2.591.875",
"47 Valladolid	Total	2020	520.649",
"49 Zamora	Total	2020	170.588",
"50 Zaragoza	Total	2020	972.528",
"51 Ceuta	Total	2020	84.202",
"52 Melilla	Total	2020	87.076",
